_id,fid,name,x,y,location,address,city,state,zip,day_time,season
4183,25,Forest Hills Farmer’s Market,-79.861137258,40.424975807,Forest Hills Presbyterian Church,Ardmore Blvd.,Pittsburgh,PA,15221,Friday 4:00 PM—7:00 PM,June—October
4184,26,Fox Chapel Farmer’s Market,-79.89139054,40.520854213, ,650 Squaw Run Road,Pittsburgh,PA,15238,Wednesday 3:00 PM—6:00 PM,June—November
4185,27,GAP Park (Millvale)—Green Grocer,-79.974461993,40.480877706, ,518 Grant Avenue,Pittsburgh,PA,15209,Tuesday 4:30 PM—5:30 PM,June—November
4186,28,Greater Pittsburgh Community Food Bank—Green Grocer,-79.842715052,40.375781936, ,1 North Linden Street,Duquesne,PA,15110,Thursday 2:00 PM—3:00 PM,June—November
4187,29,Green Tree Farmer’s Market,-80.047043213,40.418763025,Green Tree Park,10 W. Manila Avenue,Pittsburgh,PA,15220,Thursdays 4:00 PM—7:30 PM, 
4188,30,Harvest Farm Market and Bakery,-79.934940303,40.663906552, ,6003 Cunningham Road,Gibsonia,PA,15044,Daily 10:00 AM—5:00 PM,June—November
4189,31,Janoski’s Farm,-80.331793674,40.491757192, ,1714 Route 30,Clinton,PA,15026,Daily 8:00 AM—5:00 PM,Year Round
4190,32,JL Kennedy,-79.921281424,40.464351331, ,344 N. Sheridan Avenue,Pittsburgh,PA,15206,Saturday 5:00 AM—12:00 PM,June—November
4191,33,Jodinko’s Farm Market,-80.416222611,40.54117285, ,2488 Route 18,Clinton,PA,15026,Daily 9:00 AM-6:00 Pm,June-November
4192,34,Lawrenceville Farmer’s Market,-79.96184,40.466165,Arsenal Park,39th Street,Pittsburgh,PA,15201,Saturday 1:00 PM—4:00 PM,June—October 28
4193,35,Mallisee Farm,-79.771565,40.475225,Willow Village,Saltsburg Road,Pittsburgh,PA,15239,Daily 11:00 AM—5:00 PM,Mid July—September
4194,36,Market Square Farmer’s Market,-80.001494828,40.441020679,Market Square,222 Fifth Ave,Pittsburgh,PA,15222,Thursdays 10:00 PM—2:00 PM,June—October
4195,37,Mazur Auto Body,-80.019280874,40.53375335, ,3333 Babcock Blvd.,Pittsburgh,PA,15237,Monday—Friday 9:00 AM—5:00 PM,July—October
4196,38,Mellon Square Farmer’s Market—Citiparks,-79.99810947,40.440999463, ,529 Smithfield Street,Pittsburgh,PA,15222,Fridays 10:30 AM—1:30 PM,May 12—October 27
4197,39,Misera Farms,-79.802884,40.583462, ,Butler Logan Road,Tarentum,PA,15084,Saturday and Sunday 11:00 AM—4:00 PM,June—October
4198,40,Monroeville Lion’s Farmer’s Market,-79.771915412,40.418776006,Monroeville Community Park,2399 Tilbrook Road,Monroeville,PA,15146,Saturday 9:00 AM—12:00 PM, 
4199,41,Moon Township Farmer’s Market,-80.208131412,40.504579272,Municipal Building,1000 Beaver Grade Road,Moon Township,PA,15108,Tuesday 3:30 PM—6:30 PM, 
4200,42,Mt. Lebanon Lions Farmer’s Market,-80.048127992,40.373751593,United Lutheran Church parking lot,975 Washington Road,Pittsburgh,PA,15228,Wednesday 4:00 PM—7:00 PM, 
4201,43,Mt. Lebanon Uptown Farmer’s Market,-80.045187261,40.379955815, ,710 Washington Road,Pittsburgh,PA,15228,Saturday 9:00 AM—12:00 PM,June—November
4202,44,Northside Farmer’s Market—Citiparks,-80.001372463,40.453499731,East Park,East Ohio Street,Pittsburgh,PA,15212,Fridays 3:00 PM—7:00 PM, 
4203,45,Oakland Farmer’s Market,-79.956838,40.440485, ,Atwood Street,Pittsburgh,PA,15213,Friday 3:00 PM—6:00 PM,June—October
4204,46,Olde World Produce,-79.93855831,40.312232208,Ciccanti’s Ristorante parking lot,1206 Route 51,Jefferson Hills,PA,15025,Daily 9:30 AM—5:30 PM, 
4205,47,Original Farmer’s Night Market,-80.117311,40.355634,off I-79,Route 50 East,McDonald,PA,15057,Mon/Wed/Fri. 5:30 PM—9:00 PM,June—November
4206,48,Penn Hills Garden Center,-79.82341696,40.464408308, ,200 Jefferson Road,Pittsburgh,PA,15235,Sunday 10:00 AM—2:00 PM,June—October
4207,49,Pennsylvania Market Building,-79.980913026,40.427753546, (Strip District),108 18th Street,Pittsburgh,PA,15222,Saturday 9:00 AM—4:00 PM,Sunday 9:00 AM—2:00 PM
4208,50,Pleasant Hills Farmer’s Market,-79.946439505,40.335049477,Next to Chick Fil A,461 Clairton Road,Pittsburgh,PA,15236,Thursdays 3:00 PM—7:00 PM, 
4209,51,Robinson Farmer’s Market,-80.135225254,40.452391858,"Holy Trinity Catholic Church, upper parking lot",5718 Steubenville Pike,McKees Rocks,PA,15136,Monday 4:00 PM—7:00 PM,June 5 to October 2
4210,52,Ross Township Farmer’s Market,-80.03586335,40.533704981, ,920 Perry Highway,Pittsburgh,PA,15237,Wednesday 3:00 PM—7:00 PM,June--October
4211,53,Sewickley Farmer’s Market,-80.184692665,40.537597539,St. James parking lot,200 Walnut Street,Sewickley,PA,15143,Saturday 9:00 AM—1:00 PM,June--November
4212,54,St. Ursula Parish—Hampton Township,-79.96349959,40.560796445, ,3937 Kirk Avenue,Allison Park,PA,15101,Friday 1:00 PM—5:00 PM,June—October
